SALES,YEAR
4641,2003
3570.12,2003
4480.32,2003
2033.64,2003
1960.14,2003
3966.78,2003
5152,2004
3360,2004
3451,2004
5453,2004
4164.12,2004
2800.08,2004
4687.94,2004
4508,2004
4181.44,2004
2251.04,2004
1167.25,2004
2083.2,2004
3822,2004
3911.49,2005
4704,2005
2467.9,2005
3213,2005
7182,2005
4379.18,2003
5004.8,2003
3644.75,2003
2702.04,2003
3764.88,2003
4508,2003
5418.16,2003
3300.66,2003
6182.4,2003
4186.73,2004
4529.28,2004
5628.89,2004
3054.48,2004
2526.51,2004
4667.86,2004
6499.32,2004
5917.78,2003
6231.91,2004
5803.14,2004
6434.02,2004
6454.4,2004
4196.8,2004
2611.8,2005
5895.05,2005
3375.72,2005
8374.69,2005
4464.24,2005
4808.31,2003
3288.78,2003
3254.72,2003
3184.94,2003
5907.5,2003
4389.12,2003
5036.16,2003
2183.25,2003
3106.88,2003
3735.72,2003
2413.26,2004
2953.75,2004
4684.8,2004
3248.7,2004
5239.5,2004
4567.98,2004
3535.35,2004
3843.34,2004
3710.9,2004
4375.98,2004
1516.62,2004
2509,2004
9240.44,2005
2515.32,2005
5548.9,2005
4873.05,2005
2055.74,2003
2354.88,2003
2309.58,2003
2113.37,2003
1746.6,2003
2304.45,2003
2122.08,2003
1742.4,2003
2455.02,2003
3053.28,2003
1423.29,2004
1504.12,2004
1164.4,2004
1500.75,2004
1557.36,2004
1345.68,2004
1795.24,2004
1105.25,2004
2364.88,2004
2427.03,2004
1237.95,2004
1593.02,2004
3156.16,2005
1320.75,2005
4998,2005
1293.75,2005
5433.08,2003
3073.72,2003
4380.2,2003
5848.68,2003
6153.73,2003
4965.24,2003
5435.64,2003
4258.36,2003
4032,2003
4492.36,2004
4161.38,2004
2508.66,2004
3374.88,2004
5196.6,2004
2604.52,2004
2936.8,2004
3424.64,2003
2923.2,2004
4489.76,2004
4849.24,2004
5848.92,2004
2758.7,2005
1449.76,2005
7048.14,2005
5202.94,2005
5279.4,2003
6916.12,2003
2781.66,2003
5248,2003
6531.44,2003
5763.72,2003
6490.68,2003
6004.8,2003
7483.98,2003
5719.5,2004
6954.08,2004
8160.3,2004
6567.96,2004
6724,2004
5747.85,2004
5676.84,2004
7379.97,2004
3704.13,2004
2804.75,2004
5624.79,2004
3881.28,2004
1611.4,2005
1364.25,2005
4215.09,2005
6433.82,2005
4352.16,2005
5151,2003
6069,2003
2856,2003
5375.4,2003
5176.5,2003
3508.8,2003
7554.8,2003
3141.6,2003
5890.5,2003
5967,2004
3712.8,2004
7597.3,2004
3668.6,2004
5875.2,2004
7310,2003
8078.4,2004
3257.76,2004
7650,2004
4703.81,2005
5399.55,2005
14082.8,2005
5283.6,2005
3130.82,2003
3112.34,2003
3806.88,2003
2142.14,2003
3364.9,2003
1262.8,2003
1626.24,2003
4088.7,2003
3846.15,2003
1339.8,2004
3039.96,2004
3400.32,2004
1930.39,2004
2464.77,2004
2634.94,2004
3625.16,2004
3788.4,2003
1832.6,2004
2905.98,2004
2954.81,2004
3599.75,2004
3686.54,2005
2100.56,2005
3881.78,2005
4509.12,2005
3273.27,2005
4432.7,2003
4100.99,2003
5274.72,2003
4232,2003
6145.44,2003
4680.2,2003
3286.08,2003
7421.3,2003
6432.64,2003
4840.87,2004
3892.08,2004
5526.32,2004
4459.62,2004
6203.4,2004
3754.05,2004
3516.48,2004
7488.04,2003
3448.08,2004
3734,2004
974.1,2004
3160.74,2004
1746.63,2004
4207.84,2005
4352.76,2005
1463.7,2005
7169.28,2005
4594.76,2005
3457.92,2003
7381.16,2003
7146.9,2003
5938.53,2003
7110.91,2003
5032.95,2003
3667.6,2003
7381.16,2003
5128.11,2003
7060.24,2003
8448.64,2004
7300.51,2004
6549.2,2004
5697.9,2004
9169,2004
3238.63,2004
4554.94,2004
3934.44,2004
5776.26,2004
7207.45,2004
7460.74,2004
6719.54,2004
2428,2004
2602.25,2005
2200,2005
6712.93,2005
5318.04,2005
3390,2003
1608,2003
2262.96,2003
1496.64,2003
1879.74,2003
1495.26,2003
2323.7,2003
2491.86,2003
1643.12,2003
1322.16,2004
1423.8,2004
2397.45,2004
1574,2004
1729,2004
2255.84,2004
1834.5,2004
3201.5,2004
2276.4,2004
8884.8,2005
1331.1,2005
3051.3,2005
2288.52,2005
3772.61,2003
4164.42,2003
6295.95,2003
6287.66,2003
5412.54,2003
5984.14,2003
5891.04,2003
5984.14,2003
3608.15,2003
5752.54,2003
3765.32,2004
2159.96,2004
3379.94,2004
5093.5,2004
5773.44,2004
4528.86,2004
4816.08,2004
3416.78,2004
1236.84,2004
5814.86,2004
5223.48,2004
728.4,2004
3949,2005
3843.99,2005
5498.08,2005
3777.58,2005
3782,2003
3859.68,2003
4431.84,2003
4950.33,2003
4299.7,2003
4492.83,2003
2212,2003
4642.88,2003
3206.32,2003
3604.23,2004
7017.76,2004
6154.18,2004
4750.8,2004
3822.92,2004
2440.8,2004
4729.36,2004
12536.5,2004
2264.15,2004
3928.2,2004
3630.22,2004
4196.07,2005
4931.6,2005
3068.69,2005
785.64,2005
4977,2005
1189.98,2003
3090.15,2003
2795.86,2003
2851.54,2003
2701.92,2003
2204.1,2003
2840.48,2003
2647.04,2003
3172.05,2003
2585.93,2003
2148.3,2004
1667.4,2004
1859.7,2004
1476.6,2004
1732,2004
1674.17,2004
1500.98,2004
2192.68,2004
1797.58,2004
2142.35,2004
2086.92,2004
6834.5,2004
2541.59,2004
2130.92,2005
1701.7,2005
1694,2005
2913.53,2005
935.18,2005
3073.26,2003
2082.49,2003
3394.23,2003
2559.6,2003
1490.16,2003
3844,2004
4724.91,2004
1824.72,2004
2668.68,2004
2843.61,2004
3163.65,2004
2226.11,2004
2069.75,2004
2235.33,2004
3116.43,2004
4781.7,2004
2810.7,2004
3515.67,2004
2909.34,2005
1570.17,2005
2613.92,2005
3193.26,2005
1482.6,2005
2055.23,2003
2674.9,2003
1853.4,2003
1490.1,2003
2162.16,2003
2814.28,2003
1605,2003
2093.44,2003
1944.3,2003
1986.8,2004
1695.96,2004
1281.56,2004
1774.22,2004
1997.5,2004
2353.2,2004
981.2,2004
1550.72,2004
1771.06,2004
2213.4,2004
5266.04,2004
1864.8,2004
1142.41,2005
1172.6,2005
6981,2005
3064.6,2005
2202.48,2005
3773.38,2003
5074.39,2003
6483.46,2003
7956.46,2003
4230.62,2003
7209.12,2003
3452.68,2003
3047.73,2003
3675.32,2003
7492.4,2003
9534.5,2004
5579.02,2004
5950.34,2004
3726,2004
4455,2004
8272.34,2004
3577.6,2004
3881.25,2004
5797.44,2004
1264.08,2004
4815.3,2004
4462.2,2004
3033.28,2005
990.78,2005
2030.86,2005
5433.75,2005
3157.44,2003
5161.2,2003
4346.76,2003
3528.36,2003
3187.8,2003
6023.16,2003
3884.76,2003
4965.84,2003
4169.88,2003
4910.4,2004
3231.36,2004
6853.44,2004
5177.04,2004
2824.8,2004
4324.32,2004
5052.96,2004
3223.44,2003
5278.68,2004
2851.2,2004
1687.4,2004
1308,2004
6144.6,2005
5127.2,2005
6386.16,2005
7695.6,2005
2242.89,2003
2539.89,2003
2795.27,2003
5545.76,2003
4285.46,2003
3329.09,2003
5592.22,2003
3298.55,2003
2609.88,2003
3336.29,2003
5510.05,2004
2504.4,2004
3525.6,2004
4407,2004
2983.44,2004
5126.24,2004
5713.79,2004
4613.8,2004
3711.1,2004
3524.73,2004
2795.27,2004
4814.4,2004
3572.33,2004
4581.36,2005
4319.76,2005
1448,2005
881.4,2005
2011.1,2003
1801.24,2003
3390.2,2003
1424,2003
1499.1,2003
3358.08,2003
1504.16,2003
2655.12,2003
1244.16,2003
1888.88,2003
1820.01,2004
2866.95,2004
1394.16,2004
2632.28,2004
2018.56,2004
2954.53,2004
1871.83,2004
1559.04,2004
1880.2,2004
1224.67,2004
2979.08,2004
2208.64,2004
3458.42,2004
1237.88,2005
2723.2,2005
2218.52,2005
1665.32,2005
3421.04,2003
1878.66,2003
3853.6,2003
3442.64,2003
3482.16,2003
3363.52,2003
3350.52,2003
2862.72,2003
4036.04,2003
2817.92,2004
4636.38,2004
1553.58,2004
2697.6,2004
3334.04,2004
2059.26,2004
2023.14,2004
2586.64,2004
1987.02,2004
1146.5,2004
2312.24,2004
2793.71,2004
1908.28,2005
3441.37,2005
2023.28,2005
2245.2,2005
3255.12,2005
2539.5,2003
4818.15,2003
2921.7,2003
1801.2,2003
2804.36,2003
4900.8,2003
2759.31,2003
2488.2,2003
2769.89,2003
3581.4,2003
5285.14,2004
3181.53,2004
3340.51,2004
3138.34,2004
4775.08,2004
3006.43,2004
2866.26,2004
2232.62,2004
4457.02,2004
2257.92,2004
1592,2004
4948.2,2004
5160.76,2004
1978.62,2005
4288.2,2005
2520.68,2005
1781.22,2005
3065.04,2003
3551.34,2003
5544.02,2003
6034.33,2003
3641.57,2003
6930.74,2003
3675.63,2003
3442.04,2003
6893.81,2003
2622.48,2004
4417.38,2004
3606.02,2004
3802.56,2004
5026.4,2004
6695.53,2004
2819.28,2004
3759.04,2004
2731.8,2004
1658.88,2004
5778.24,2004
5191.12,2004
3862.88,2005
1476.48,2005
5273.73,2005
4872.03,2005
4556.99,2003
8257,2003
8209.44,2003
3598.5,2003
3837.24,2003
8331.61,2003
4836.5,2003
5418.88,2003
3734.01,2003
3996.4,2003
8754.69,2003
5481.45,2003
4419.89,2003
6324.75,2003
4409.72,2003
3918.46,2003
7620.5,2003
8291.04,2003
3937.25,2003
5554.4,2004
6407.86,2004
4172.52,2004
7083.37,2004
7132.68,2004
6773.6,2004
3657.69,2004
4812.55,2004
3928.6,2004
6401.22,2004
4191.25,2004
5852.52,2004
2844.87,2004
4011.66,2003
7455.87,2004
8940.96,2004
4572.25,2004
5700.09,2004
3155.49,2004
4170.69,2004
2878.8,2004
5029.5,2004
7396.8,2004
2991.68,2004
6275.72,2005
1534.95,2005
7264.53,2005
6869.05,2005
3353.02,2005
8289.05,2005
11887.8,2005
5926.9,2005
3793.16,2005
4330.1,2003
2011.8,2003
4837.18,2003
2151.82,2003
2573.46,2003
5344.5,2003
3070.52,2003
3952.83,2003
3564.75,2003
5614.56,2004
1855.41,2004
4598.4,2004
5082.42,2004
5450.59,2004
4174.92,2004
2418.24,2004
3670.4,2004
2481.7,2004
3807.68,2004
2230.41,2004
3814.64,2004
2117.75,2005
3340.48,2005
2154,2005
5808.48,2005
1777.1,2003
1536.57,2003
3510,2003
3097.44,2003
1705.41,2003
2264.32,2003
2484.6,2003
3415.68,2003
2839.32,2003
2730,2004
3540.53,2004
2999.97,2004
1527.8,2004
3907.8,2004
2658.48,2004
3042.68,2004
3861.2,2003
2171.07,2004
3403.08,2004
2245.8,2004
1668.5,2004
2773.8,2005
2464,2005
5491.6,2005
4791.82,2003
4178.85,2003
3128.92,2003
3095.4,2003
3958.5,2003
4991.44,2003
2761.96,2003
2848.23,2003
2539.84,2003
2444.4,2003
4555.92,2004
3666.96,2004
3035.88,2004
2321.54,2004
3474.46,2004
2501.98,2004
3958.46,2004
3535.95,2004
3011.91,2004
11336.7,2004
2656.94,2004
2604.25,2004
3288.6,2005
8935.5,2005
4035.96,2005
1875.09,2005
4049.56,2003
2469.39,2003
5432.7,2003
4405.22,2003
3638,2003
4444.92,2003
3395.48,2003
3414.58,2003
5127.04,2003
3745.28,2004
4564.08,2004
6554.24,2004
6749.83,2004
8427.02,2004
3924.6,2004
6761.6,2004
3786.49,2003
6266.12,2004
3491,2004
4405.22,2004
6548.3,2004
3177.91,2004
4142.64,2005
4149.07,2005
7397,2005
6241.6,2003
5331.88,2003
5124.3,2003
3639.44,2003
5544,2003
5493.12,2003
5785.26,2003
5340.6,2003
5735.8,2003
6357.6,2004
7343.9,2004
5959.22,2004
4029.38,2004
5035.14,2004
4116.8,2004
4310.55,2004
6446.7,2003
3616.64,2004
4232.76,2004
1765.66,2004
3734.72,2004
4808.38,2005
2266.56,2005
10468.9,2005
5589.14,2005
2914.11,2003
1740.9,2003
2266.2,2003
3155.58,2003
1357.86,2003
2598.82,2003
1057.56,2003
3127.82,2003
2488.14,2004
2220.72,2004
1357.72,2004
1638.04,2004
2626.08,2004
1661.88,2004
2173.6,2004
2182.05,2004
2819.88,2004
2598.64,2004
2019.27,2004
1454.7,2004
1657.57,2004
2851.84,2005
4609.64,2005
5079.96,2005
1879.92,2005
4774.86,2003
2687.04,2003
3423.75,2003
3455.76,2003
3622.97,2003
3599.58,2003
5386.56,2003
4918.78,2003
2538.8,2003
2498.6,2004
3858.75,2004
5600.5,2004
4103.46,2004
4287.5,2004
5795.54,2004
1863.4,2004
4166.88,2004
4080.07,2004
3815.48,2004
5526.45,2004
3374.6,2004
3024.5,2005
1266.1,2005
4811.85,2005
7307.42,2005
6209.25,2005
5348.5,2003
2780.58,2003
3447,2003
3791.52,2003
4524.1,2003
3337.6,2003
5532.12,2003
5096.91,2003
4537.08,2003
6146.8,2003
8258,2004
7238.28,2004
6756,2004
3734,2004
4674.8,2004
7140.76,2004
3600.65,2004
4206.74,2004
5379.71,2004
5679.36,2004
4394.84,2004
2528.25,2004
7031.52,2005
5340.9,2005
6376.58,2005
6896.75,2005
1903.22,2003
2499.56,2003
3081.24,2003
3598.22,2003
3912.09,2003
1584.66,2003
3942.72,2003
2341.2,2003
2482.11,2003
3602.02,2004
3566.94,2004
3787.98,2004
3704.05,2004
2834.65,2004
3392.26,2003
3358.31,2004
7310,2004
2203.11,2004
2696.96,2005
3376.64,2005
541.14,2005
6134.7,2005
3382.5,2003
2240.66,2003
3962.88,2003
1685.28,2003
1834.36,2003
1916.98,2003
2611,2003
3630.28,2003
5090.5,2003
3949.65,2004
3491.67,2004
2059.19,2004
3170.16,2004
1790.6,2004
2345.97,2004
3580.88,2004
4946.06,2004
3525.6,2004
3602.16,2004
4300.5,2004
4498.19,2004
3023.1,2004
3562.49,2005
1640.24,2005
4739.4,2005
1207.68,2005
4228.2,2003
4815.45,2003
7083,2003
4601.2,2003
6467.02,2003
5012.55,2003
5121.59,2003
2441.04,2003
4262.08,2003
6658.02,2003
4509.08,2004
4716.23,2004
2390.22,2004
4666.62,2004
5383.08,2004
2482.25,2004
5288.64,2004
2184.38,2004
2881.76,2004
6203.06,2004
6763.47,2004
5884.65,2004
3559.64,2004
1668.37,2005
4890.6,2005
5235.72,2005
4325.16,2005
1938.89,2003
2490.5,2003
2314.69,2003
1254.83,2003
1282.8,2003
1345.75,2003
2194.22,2003
1972,2003
1835.98,2003
1119.93,2003
2082.88,2004
1569.75,2004
2694.15,2004
1257.27,2004
2567.84,2004
2634.28,2004
1502.78,2004
1676.2,2004
2217.15,2004
6832.02,2004
1916.64,2004
7110.8,2004
5302.8,2004
2730,2005
7827.3,2005
2095.45,2005
1556.62,2005
5565.12,2003
3583.16,2003
4705.18,2003
4444.54,2003
4618.88,2003
4910.4,2003
5565.12,2003
4237.76,2003
5673.58,2004
5260.15,2004
6350.96,2004
3559.4,2004
2410.6,2004
5713.92,2004
4300.32,2004
7947.31,2004
5356.8,2004
7901.1,2004
6101,2004
6276.46,2004
4203.5,2004
1629.04,2005
3289.86,2005
6862.94,2005
2574.18,2003
1327.79,2003
2356.25,2003
2013.5,2003
2807.22,2003
3072.96,2003
1906.5,2003
3431.7,2003
2084.75,2004
2136.01,2004
2009.7,2004
2719.8,2004
1575.08,2004
1688.43,2004
1672.1,2003
1674.75,2004
3472.98,2004
1649.18,2004
3751,2005
4536,2005
4421.34,2005
2078.28,2005
3069,2003
1713.8,2003
1506.5,2003
2692.12,2003
2422.08,2003
3488.34,2003
2583.34,2003
1249.4,2003
3374.71,2004
1265.46,2004
1681.46,2004
3204,2004
2398.72,2004
2381.04,2004
1944.54,2003
2273.7,2004
2116.5,2004
1307.32,2004
1726.37,2004
1267.77,2005
3441.82,2005
1987.18,2005
3880.2,2005
1942.15,2003
3259.92,2003
1213.8,2003
1086.6,2003
1632.75,2003
1734,2003
1857.06,2003
1863.41,2003
2924.68,2003
2294.18,2003
1457.82,2004
1955.88,2004
2314.4,2004
1310.96,2004
2913.3,2004
1357.78,2004
2150,2004
2783.25,2004
2339.92,2004
1729,2004
5972.4,2004
2275.2,2004
2673.44,2004
2431.75,2005
2018.72,2005
1558.99,2005
1104.6,2005
2575.1,2005
2845.75,2003
3431.75,2003
3273.9,2003
4119.4,2003
5355.68,2003
5747.5,2003
5355.36,2003
2535.75,2003
4351.23,2003
2254,2004
2921.28,2004
2299,2004
2637.18,2004
4307.52,2004
2153.76,2004
3716.88,2004
5455.76,2004
2650.62,2004
6437.28,2004
2633.4,2004
2278.53,2004
4846,2005
4197.1,2005
4597.65,2005
5287.7,2005
3550.05,2005
1721.73,2003
2993.5,2003
1295.06,2003
2671.95,2003
1226.59,2003
1453.84,2003
1830.22,2003
2530.01,2003
2241.45,2003
2399.85,2004
1557.72,2004
845.25,2004
1352.4,2004
1584.8,2004
2616,2004
1129.04,2003
2218.5,2004
2028.48,2004
1759.2,2004
977.67,2004
1463,2005
3970.56,2005
2576,2005
2233.69,2005
2481.64,2003
4651.53,2003
3858.1,2003
3501.6,2003
6433.7,2003
2658.96,2004
3608.76,2004
2214.67,2004
2747.53,2004
3310.92,2004
2380,2004
2310.88,2004
4061.76,2004
3493.7,2004
2872.25,2004
4114.38,2004
1063.65,2004
2008.44,2004
4328.6,2005
1376.43,2005
5552.16,2005
3659.02,2005
4165.61,2005
1404,2003
710.2,2003
1702.8,2003
1194.84,2003
1007.14,2003
977.43,2003
1436.76,2003
759.46,2003
1189.44,2003
683.8,2004
1226.82,2004
974.82,2004
577.6,2004
1106.93,2004
694.6,2004
1152.06,2004
2624,2004
3685.95,2004
703.6,2004
9720,2004
834.67,2005
2257.92,2005
8344.71,2005
1801.94,2005
1209.6,2005
3155.14,2003
2848.86,2003
3570.29,2003
3902.41,2003
1474.66,2003
2186.89,2003
1919.4,2003
3656,2003
1847,2003
1851,2004
2633.78,2004
3153.6,2004
2803.2,2004
2311.02,2004
2399.4,2004
2733.12,2004
2096.32,2004
2971.34,2004
2257.58,2004
3493.91,2004
4398.9,2004
3595.62,2005
2443.29,2005
3988.6,2005
5168.4,2005
2803.2,2005
6341.21,2003
5189.78,2003
6027.75,2003
3366,2003
5456.4,2003
3812.16,2003
6083,2003
3170.7,2003
4534.6,2003
4301.15,2004
6804.63,2004
5652.94,2004
6960.48,2004
4512.6,2004
2784.76,2004
5316.36,2004
2941.89,2004
3207.4,2004
4215.05,2004
4333.29,2004
2087.13,2004
1711.22,2004
3910.53,2005
2255.12,2005
5720.75,2005
3335.23,2005
2472.96,2003
1729.65,2003
995.5,2003
2414.72,2003
1560.47,2003
1112.94,2003
1138.94,2003
1012.4,2003
913.92,2003
2349.06,2004
1161.12,2004
1764.75,2004
1690.9,2004
2137.05,2004
2177.1,2004
1734.48,2004
865.49,2004
3500.1,2004
2223.52,2004
2311.68,2004
828.36,2004
856.52,2005
1845.45,2005
4042.08,2005
1828,2005
3680.28,2003
2925.09,2003
3415.77,2003
5105.14,2003
5098.8,2003
4661.76,2003
2969.96,2003
3496.32,2003
5760.93,2003
6819.04,2003
3148.88,2004
5704.32,2004
3520.6,2004
5285.62,2004
5605.05,2004
2779.5,2004
5398.08,2004
3189.6,2004
5581.8,2004
3820.44,2004
5528.04,2004
5981.42,2004
5684.65,2004
3449.4,2005
2654.4,2005
8498,2005
5510.54,2005
2060.45,2003
2460.16,2003
1787.56,2003
1645.65,2003
2169.18,2003
2816.18,2003
2521.05,2003
3199.98,2003
1338.12,2004
2972.58,2004
2070.9,2004
3092.6,2004
2408.7,2004
3472.54,2004
2263.28,2004
2194.17,2004
1346.4,2004
2533.63,2004
3403.26,2004
3307.2,2004
2896.65,2004
2632.89,2005
2046,2005
2279.55,2005
2150.55,2005
3360.45,2003
2326.4,2003
1545.6,2003
2144.6,2003
1639.22,2003
2649.6,2003
3845.6,2003
4527.04,2003
3966.3,2004
4142.58,2004
4441.5,2004
3315.12,2004
3918.53,2004
2830.45,2004
5298.86,2003
2620.8,2004
2181,2004
3382.08,2004
2876.75,2004
4107.2,2005
1350,2005
7182,2005
3933.93,2005
1742.4,2003
721.44,2003
1489.41,2003
891.03,2003
1209.3,2003
859.14,2003
1151.44,2003
1336.44,2003
905.28,2003
1247.4,2003
846.51,2004
1085.04,2004
1767.43,2004
1030.44,2004
1585.36,2004
813.2,2004
1172.34,2004
1510.56,2004
1448.07,2004
3338.1,2004
1225.29,2004
1336.68,2004
2985.84,2004
5545.8,2005
6089.6,2005
1789.4,2005
1082.1,2005
1030.44,2005
3659.32,2003
2443.6,2003
2349.9,2003
1646.19,2003
1670.26,2003
1467.48,2003
2748.56,2003
1522.4,2003
3255.36,2003
3535.03,2004
2608.96,2004
1356.4,2004
1611.36,2004
2603.2,2004
2219.7,2004
1496.25,2004
1884,2004
2166.14,2004
2828.16,2004
6214.45,2004
1867,2004
2676.72,2005
2182.44,2005
1611.4,2005
1479.84,2005
1424.22,2005
5942.28,2003
2348.75,2003
4392.12,2003
2759.75,2003
2728.03,2003
2395.8,2003
3052.33,2003
4242,2003
2790.45,2004
4340.49,2004
2762.2,2004
4645.72,2004
5580.96,2004
